number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price
4,3,2130,6325,1,0,0,5,7,1440,690,1948,0,122009,52.7983,-114.586,1240,6325,2,74,620000
3,2,1320,6000,2,0,0,4,7,1320,0,1920,0,122054,52.8052,-114.494,1620,4000,1,62,410000
3,2,1940,5980,1,0,0,3,7,1520,420,1987,0,122012,52.7776,-114.265,1910,6309,3,51,580000
4,4,2630,3435,2,0,3,3,7,1640,990,1984,0,122070,52.6655,-114.462,1920,2435,1,62,325000
3,2,1800,9000,1,0,0,3,7,1200,600,1961,0,122063,52.7232,-114.468,980,6000,2,76,257000
4,6,5060,10320,2,0,0,3,11,5060,0,2008,0,122048,52.8545,-114.4,3010,10080,3,79,2150000
4,2,1770,6014,2,0,0,4,7,1240,530,1946,0,122009,52.8073,-114.583,1740,6014,2,72,600000
2,1,1040,169448,1,0,0,4,6,1040,0,1950,0,122051,52.7687,-114.467,1390,5897,2,74,299000
5,5,5180,17811,2,0,2,3,11,4070,1110,2001,0,122008,52.7705,-114.058,3960,15103,2,74,1080000
4,2,2340,13445,2,0,0,3,8,2340,0,1990,0,122035,52.604,-114.315,2340,11188,1,62,360000
2,2,2830,8630,2,0,0,3,10,2830,0,2001,0,122019,52.8781,-114.271,3190,7515,3,73,795000
5,2,2450,9488,1,0,0,4,7,1240,1210,1900,1955,122038,52.9356,-114.53,1310,5693,2,62,550000
2,1,1190,6200,1,0,0,3,7,1190,0,1948,0,122038,52.9934,-114.53,1470,7800,2,78,295950
3,2,1690,3449,1,0,0,3,7,1690,0,1987,0,122042,52.7019,-114.381,1530,4093,2,55,289000
5,2,3190,8160,2,0,0,3,9,3190,0,2014,0,122050,52.9546,-114.553,1650,8160,3,62,865000
2,1,1570,4704,2,0,1,3,8,1570,0,1931,0,122016,52.7556,-114.582,1820,4704,2,65,502000
2,2,2220,4000,2,0,0,3,9,2220,0,2000,0,122047,52.8664,-114.47,1870,4000,3,67,1430000
3,1,1150,19200,1,0,0,4,5,1150,0,1908,0,122039,52.5056,-114.46,1290,19200,2,67,165000
3,3,3230,8625,2,0,3,3,10,2220,1010,1998,0,122009,52.792,-114.594,2330,6022,1,66,1260000
3,2,1140,11161,1,0,0,4,7,1140,0,1998,0,122068,52.439,-114.202,1720,8587,1,74,250000
3,2,1880,7000,2,0,0,3,8,1880,0,1993,0,122067,52.6506,-114.374,1880,7000,1,80,315000
3,2,1010,6552,1,0,0,3,7,1010,0,1969,0,122035,52.605,-114.307,1010,6552,3,70,147500
5,2,3090,12750,1,0,0,3,8,1750,1340,1968,0,122018,52.5708,-114.525,1760,25919,2,63,384900
3,2,2650,40705,2,0,0,3,9,2650,0,1994,0,122045,52.898,-114.253,2550,42625,1,69,770000
2,1,820,6771,1,0,0,4,6,820,0,1918,0,122034,52.75,-114.544,1000,4440,2,61,260000
3,1,910,5250,1,0,0,4,6,910,0,1971,0,122031,52.7029,-114.542,1650,10442,1,55,244000
2,1,720,6345,1,0,0,3,6,720,0,1943,0,122034,52.7501,-114.54,720,6345,2,74,240000
6,3,2820,4536,2,0,0,4,8,1930,890,1917,0,122004,52.8988,-114.499,2820,4536,1,70,875000
4,2,2640,3899,2,0,0,3,7,2640,0,2000,0,122017,52.984,-114.407,2460,4057,2,70,436000
2,1,860,8308,1,0,0,4,7,860,0,1948,0,122052,52.7375,-114.567,1310,8308,1,76,330000
4,2,1790,6120,2,0,0,3,7,1790,0,2005,0,122015,52.7129,-114.318,1950,5660,2,66,370500
3,1,1660,11200,1,0,0,3,7,1660,0,1957,0,122053,52.7421,-114.358,1380,10875,1,63,261000
3,2,1490,7929,1,0,0,3,7,1490,0,1989,0,122072,52.5175,-114.408,1650,7929,2,79,245000
4,2,2150,6807,2,0,0,4,8,2150,0,1991,0,122067,52.6353,-114.379,1910,7240,2,52,316500
5,3,2860,6000,2,0,0,4,8,2380,480,1902,0,122054,52.8206,-114.506,2240,6000,3,64,750000
4,3,2790,5000,2,0,0,3,8,2790,0,2014,0,122025,52.7131,-113.963,2620,5527,2,71,484259
3,2,1570,12196,1,0,0,4,7,1570,0,1972,0,122025,52.7166,-113.976,1740,12196,1,64,458000
4,2,1700,9000,1,0,0,5,7,1700,0,1972,0,122033,52.9606,-114.423,1370,7592,3,51,410000
3,1,1210,103237,1,0,0,2,6,1210,0,1918,1960,122069,52.6508,-114.635,1880,40510,2,66,160000
3,3,1730,1902,3,0,0,3,8,1730,0,2014,0,122007,52.9244,-114.567,1830,1804,3,54,566950
3,2,1860,3690,2,0,0,3,7,1860,0,2000,0,122058,53.006,-114.429,1870,4394,2,79,384950
3,2,1350,7200,1,0,0,5,7,1350,0,1954,0,122022,52.943,-114.474,1100,7200,2,71,450000
4,2,1950,10219,1,0,0,3,7,1950,0,1962,0,122038,52.9792,-114.526,1500,9099,2,60,395000
3,2,1794,4769,2,0,0,3,7,1794,0,2005,0,122039,52.5352,-114.473,3557,4807,1,62,254950
3,2,2320,52272,2,0,0,3,8,2320,0,1974,0,122020,52.817,-114.258,2200,52272,3,70,600000
3,2,1800,6000,1,0,0,5,7,900,900,1905,0,122028,52.9167,-114.539,1800,3000,3,76,471001
3,2,1350,6000,1,0,2,3,7,900,450,1950,0,122016,52.7575,-114.581,1730,6012,2,64,525000
4,2,2230,6791,2,0,0,3,8,2230,0,2005,0,122024,52.6069,-114.218,2420,6297,2,73,340000
2,1,1120,7440,1,0,0,4,7,1120,0,1939,0,122014,52.9705,-114.513,1170,7440,3,64,335900
1,1,1170,14149,1,0,0,5,7,880,290,1962,0,122068,52.4953,-114.1,1130,24513,1,57,275000
3,2,1740,6800,2,0,0,4,7,1740,0,1949,0,122064,52.7614,-114.563,990,6800,2,71,450000
3,2,1270,4800,1,0,0,3,7,1270,0,1952,2014,122064,52.7662,-114.566,1220,4800,1,69,415000
4,3,2200,16288,1,0,0,3,7,1290,910,1980,0,122015,52.7093,-114.312,2650,6620,1,67,475000
2,1,1420,5332,1,0,0,3,8,1070,350,1953,0,122004,52.8994,-114.465,2400,5406,3,54,641000
3,2,1960,3060,2,0,0,3,8,1960,0,2010,0,122007,52.9064,-114.579,1220,3060,2,60,732000
2,2,2460,16940,2,0,4,4,9,1930,530,1936,0,122007,52.9092,-114.594,2260,6851,2,51,1370000
4,3,2430,20720,1,0,0,3,7,2430,0,1967,0,122021,53.005,-114.329,2580,26950,3,76,465425
2,2,1700,5000,1,0,0,3,6,850,850,1915,0,122007,52.9087,-114.553,1690,5000,1,56,511718
4,1,1610,24000,2,0,0,3,6,1610,0,1947,0,122039,52.5051,-114.442,1270,9600,1,71,235000
5,4,3430,6872,2,0,0,3,10,2830,600,2002,0,122067,52.6365,-114.397,3650,6600,1,56,473000
2,1,920,5000,1,0,0,4,6,490,430,1949,0,122028,52.9308,-114.528,1500,5000,3,50,280300
5,4,4430,9000,2,0,0,3,10,4430,0,2013,0,122048,52.8468,-114.406,2470,9490,2,56,2450000
3,1,1260,6826,1,0,0,3,6,720,540,1944,0,122022,52.961,-114.493,1300,6826,3,50,342000
4,4,4100,61419,2,0,0,3,9,4100,0,2014,0,122011,52.7926,-114.195,2010,32362,1,77,1350000
4,2,2690,18653,2,0,0,3,8,2690,0,1985,0,122019,52.8749,-114.249,2230,9744,3,74,645000
3,3,2520,23790,1,0,0,4,7,1360,1160,1946,0,122003,52.8752,-114.563,1800,5036,2,80,750000
4,2,2200,110642,1,0,0,5,7,1330,870,1979,0,122037,52.9709,-114.242,2290,51400,1,75,535000
2,2,1070,9750,2,0,0,3,7,1070,0,1995,0,122041,52.9431,-113.509,970,9750,2,77,241000
3,3,2560,3600,2,0,0,3,10,2110,450,1994,0,122003,52.863,-114.56,2160,3600,1,68,925000
4,2,2570,9000,1,0,0,4,8,1590,980,1979,0,122018,52.5286,-114.562,2120,8571,1,72,287500
3,2,1370,5858,1,0,0,3,7,1370,0,1987,0,122043,52.6115,-114.503,1400,7500,3,56,257950
4,3,3000,6222,2,0,0,3,9,3000,0,2004,0,122011,52.7882,-114.215,3340,7222,1,50,705000
3,3,1600,1298,3,0,0,3,8,1600,0,1999,0,122007,52.9254,-114.565,1600,1348,1,63,350000
2,1,1510,6807,1,0,0,3,7,1090,420,1939,0,122038,52.941,-114.543,1460,6807,3,74,415000
4,2,2920,4000,2,0,0,5,8,1910,1010,1909,0,122004,52.8878,-114.47,2470,4000,2,51,1400000
4,2,2120,4000,2,0,0,4,8,1920,200,1929,0,122004,52.8901,-114.465,2300,4000,2,57,980000
2,1,900,8580,1,0,0,3,5,900,0,1918,0,122056,52.7027,-114.46,2060,6533,3,60,83000
4,2,1990,2175,2,0,0,3,8,1680,310,2005,0,122026,52.8996,-114.561,1560,2087,2,76,595000
3,2,2260,5300,1,0,0,3,7,1200,1060,1940,0,122028,52.9056,-114.538,1950,5000,1,58,440000
4,1,1000,7134,1,0,0,3,6,1000,0,1943,0,122063,52.7197,-114.43,1020,7138,3,71,239900
5,3,4090,12850,1,0,2,4,10,2090,2000,1986,0,122010,52.8927,-114.378,2540,10270,3,51,1100000
3,2,2060,5115,2,0,0,3,9,2060,0,2014,0,122023,52.5561,-114.353,2648,4500,3,67,356250
4,2,1740,9613,2,0,0,5,8,1740,0,1989,0,122046,52.693,-114.315,1680,9769,1,56,300000
4,3,4240,25639,2,0,3,3,10,3550,690,1989,0,122018,52.5541,-114.568,3590,24967,1,62,625000
4,3,3190,14904,1,0,3,4,9,1940,1250,1949,1992,122048,52.8478,-114.404,2600,11195,2,79,1650000
3,1,850,6906,1,0,0,3,6,850,0,1948,0,122014,52.9741,-114.504,1150,6907,1,66,325000
3,2,3240,33661,2,0,0,3,8,3240,0,2001,0,122015,52.7085,-114.285,1870,43560,1,55,575000
3,2,1490,974,2,0,0,3,7,1220,270,2009,0,122034,52.7867,-114.553,1490,1283,2,78,312000
3,2,2230,10026,1,0,0,3,8,1430,800,1975,0,122005,52.8947,-114.343,2230,9340,1,65,585188
3,2,1480,2185,2,0,0,3,9,1480,0,2005,0,122033,52.9245,-114.36,1480,2441,2,52,620000
3,2,1580,10100,1,0,0,4,7,1580,0,1961,0,122042,52.6723,-114.383,1650,10032,3,57,296500
5,2,2980,5377,2,0,0,3,9,2980,0,2006,0,122005,52.9374,-114.291,3150,6593,2,62,739900
4,2,4040,25752,2,0,0,3,10,4040,0,2000,0,122024,52.6879,-114.258,3230,22247,3,70,765000
5,4,4050,13495,1,0,2,4,9,2230,1820,1988,0,122031,52.6684,-114.542,3210,13495,1,64,925000
3,2,2040,273556,1,0,0,3,7,2040,0,1997,0,122069,52.6661,-114.659,1790,273556,3,56,467500
3,2,1670,7757,1,0,0,3,8,1670,0,1992,0,122065,52.6102,-114.397,2290,7859,1,62,289950
4,3,2830,213879,2,0,0,4,8,2830,0,1987,0,122023,52.5225,-114.297,2250,213008,3,55,549900
5,4,4330,11979,1,0,4,3,12,2090,2240,2008,0,122048,52.8551,-114.408,4320,12000,3,73,3170000
3,2,1390,11340,1,0,0,4,7,1390,0,1963,0,122067,52.6284,-114.376,1740,11340,1,65,232000
2,1,760,6141,1,0,0,2,6,760,0,1920,0,122051,52.7769,-114.467,900,4120,3,70,162500
2,1,1400,4500,1,0,0,3,7,900,500,1922,0,122042,52.7166,-114.409,1400,5500,1,59,310000
4,3,3090,16538,3,0,0,4,8,2590,500,1919,1987,122009,52.8103,-114.593,1500,5130,2,77,1000000
4,1,1780,4000,2,0,0,3,7,1780,0,1922,0,122028,52.8924,-114.544,1750,4000,3,80,440000
4,2,2260,6600,1,0,0,5,8,1220,1040,1948,0,122006,52.9053,-114.468,2240,6600,3,53,864000
2,1,1220,75794,1,0,0,4,7,1220,0,1963,0,122024,52.6519,-114.197,2010,98010,1,52,300000
3,2,1830,4992,1,0,0,3,7,1230,600,1953,0,122051,52.7445,-114.46,2050,7740,1,75,210000
3,1,1270,5000,1,0,0,5,6,1270,0,1949,0,122042,52.7115,-114.416,1650,7153,2,69,235000
2,2,1550,1827,2,0,0,3,8,1550,0,2008,0,122034,52.7694,-114.558,1420,1826,3,57,320000
4,2,2040,11850,1,0,2,3,7,1020,1020,1959,0,122010,52.9191,-114.398,2040,8504,1,57,749000
4,3,2850,7510,2,0,0,3,8,2850,0,2008,0,122022,52.9397,-114.495,1510,8833,1,57,637000
4,3,3390,6298,2,0,0,3,9,3390,0,2011,0,122019,52.8206,-114.252,3390,7111,1,70,859900
3,2,1300,1180,3,0,0,3,8,1300,0,2008,0,122028,52.9171,-114.529,1300,1174,1,77,515000
3,2,1710,8998,2,0,0,3,8,1710,0,1982,0,122005,52.9536,-114.3,1710,9859,1,65,479000
6,2,2550,33740,1,0,0,4,8,1750,800,1958,0,122018,52.5522,-114.552,2010,28200,1,59,375900
3,2,3680,13384,2,0,0,3,10,3680,0,1994,0,122027,52.7784,-114.309,3600,11306,2,64,1030000
4,2,2430,5556,2,0,0,4,8,2430,0,2003,0,122035,52.6062,-114.316,2430,5556,2,60,381500
3,2,2870,5163,2,0,0,3,9,2870,0,2014,0,122028,52.9235,-114.542,1630,7995,2,73,880000
1,1,790,13062,1,0,0,3,6,790,0,1942,0,122056,52.7219,-114.501,1240,7137,1,50,135000
5,2,1320,38125,1,0,0,4,7,1120,200,1947,0,122043,52.6237,-114.513,2360,15070,2,76,380000
4,2,2750,9949,2,0,0,3,10,2750,0,1999,0,122030,52.8895,-114.337,2750,9860,2,57,1050000
4,2,2520,15205,1,0,0,4,7,2040,480,1954,0,122058,52.9942,-114.454,1680,10000,3,61,387846
3,2,1290,1286,3,0,0,3,7,1290,0,2000,0,122028,52.8917,-114.539,1720,1286,1,79,440000
4,2,1910,5000,2,0,0,3,7,1910,0,2005,0,122024,52.5908,-114.226,2020,5000,3,62,297500
4,2,1100,3300,1,0,0,1,7,1100,0,1919,0,122044,52.8333,-114.485,2020,4000,2,50,441000
2,1,850,6174,1,0,0,4,7,850,0,1950,0,122014,52.9652,-114.518,1100,6174,1,60,308500
3,2,2070,39768,2,0,0,3,8,2070,0,1988,0,122037,52.9996,-114.226,2740,44866,3,75,542950
4,2,1940,11500,1,0,0,4,7,1090,850,1955,0,122027,52.8074,-114.337,1700,8360,1,69,420000
3,1,910,7700,1,0,0,4,7,910,0,1971,0,122033,52.9603,-114.428,1250,7700,3,65,300000
4,3,2920,33976,1,0,3,5,8,1460,1460,1964,0,122029,52.8464,-114.294,2970,15210,2,67,1050000
3,2,2580,7500,2,0,0,3,9,2580,0,1991,0,122009,52.7877,-114.586,910,6500,1,66,640000
5,2,3070,64033,1,0,0,3,9,2730,340,1983,0,122039,52.5538,-114.482,1560,28260,3,50,420000
4,2,1860,7350,1,0,0,4,7,1090,770,1977,0,122067,52.6279,-114.364,1710,7350,3,50,250000
4,3,1970,37026,1,0,0,4,8,1970,0,1961,0,122069,52.6675,-114.636,1970,51836,1,63,395000
3,2,2380,6000,2,0,0,3,7,1320,1060,1935,0,122063,52.728,-114.412,1290,6000,3,67,285000
3,2,1650,2958,2,0,0,3,7,1650,0,1985,0,122067,52.6216,-114.357,1510,3788,2,64,233500
4,2,2180,10754,1,0,0,5,7,1100,1080,1954,0,122038,53.0011,-114.531,1810,6929,2,56,315000
4,2,1960,12688,2,0,0,4,7,1960,0,1962,0,122005,52.8604,-114.287,2050,9375,2,69,442000
4,2,2920,20400,1,0,0,4,11,2920,0,1966,0,122048,52.8537,-114.418,3080,20400,1,50,1650000
5,4,3360,6000,2,0,0,3,8,2640,720,1963,1999,122051,52.788,-114.467,1930,6000,3,69,725000
3,2,2000,8400,2,0,0,4,8,2000,0,1959,0,122038,52.9835,-114.524,2000,8400,1,52,415000
3,2,2120,10875,1,0,2,3,8,1540,580,1977,0,122052,52.734,-114.572,2460,11760,2,78,578000
4,5,4670,43950,2,0,0,3,12,4670,0,1989,0,122027,52.7756,-114.316,4900,35000,3,72,1420000
4,2,2000,10890,1,0,0,4,7,1390,610,1961,0,122040,52.5503,-114.511,1520,9250,3,50,335000
2,2,3170,3000,2,0,2,5,10,1990,1180,1900,0,122061,52.8591,-114.541,2980,5061,2,80,1700000
5,4,2760,3846,2,0,0,3,8,2760,0,2013,0,122053,52.7347,-114.36,2760,4587,3,67,424950
5,2,2320,7700,1,0,0,5,7,1290,1030,1962,0,122039,52.5726,-114.475,1740,7210,2,64,250000
3,1,1040,6860,2,0,0,3,6,1040,0,1942,0,122052,52.7421,-114.565,1030,6512,2,62,239000
4,2,1530,6375,2,0,0,3,7,1530,0,1942,1983,122046,52.6992,-114.352,1500,8712,2,63,231000
2,1,790,14200,1,0,0,3,7,790,0,1951,0,122070,52.689,-114.475,1430,10000,3,80,198000
4,3,3180,12070,2,0,0,4,9,3180,0,1976,0,122019,52.8671,-114.248,3110,12600,2,50,790000
5,3,3880,8432,2,0,0,3,7,3880,0,2004,0,122053,52.7106,-114.366,2620,5623,2,66,430000
2,1,850,3827,1,0,0,5,6,850,0,1924,0,122004,52.8984,-114.506,1630,3000,2,58,447000
2,1,910,6000,1,0,0,3,6,910,0,1943,0,122051,52.7553,-114.456,1460,5800,2,51,254000
4,2,1530,17664,2,0,0,3,7,1530,0,1968,0,122046,52.6849,-114.345,1530,11625,3,69,302000
5,3,3370,10315,2,0,0,3,9,3370,0,2006,0,122015,52.7193,-114.336,3010,8296,1,78,561000
4,2,1500,8400,1,0,0,3,7,1200,300,1956,0,122070,52.6831,-114.463,1780,9913,2,69,289950
3,1,910,7686,1,0,0,3,7,910,0,1969,0,122039,52.5705,-114.478,1020,7686,3,64,169000
3,2,1600,16530,1,0,0,5,7,1600,0,1967,0,122020,52.8121,-114.206,1850,41006,3,59,525000
4,2,2020,48693,2,0,0,3,7,2020,0,1949,0,122025,52.6946,-113.949,1610,34900,1,52,356000
2,2,1340,7380,1,0,0,3,6,1340,0,1940,0,122042,52.7085,-114.419,1980,9600,3,56,192000
3,3,1210,1173,2,0,0,3,8,1000,210,2002,0,122038,52.9414,-114.546,1650,1493,2,61,343000
3,2,1660,4898,2,0,0,3,7,1660,0,2011,0,122024,52.5888,-114.234,1810,4462,1,70,295000
4,2,3140,14421,2,0,0,3,10,3140,0,1994,0,122020,52.8243,-114.208,3140,17417,1,69,780000
3,2,1910,4800,1,0,0,3,7,1080,830,1959,0,122028,52.9144,-114.522,1750,4800,1,67,700000
3,4,2620,11148,2,0,4,4,9,2060,560,1977,0,122029,52.8145,-114.305,2590,10796,3,72,850000
4,2,2190,4104,2,0,0,5,8,1410,780,1928,0,122047,52.8719,-114.496,1990,3860,3,70,808000
3,2,2070,10908,2,0,0,3,8,2070,0,1986,0,122011,52.7965,-114.213,2220,10975,2,70,567000
4,4,3370,6766,2,0,0,3,9,3370,0,2005,0,122005,52.9363,-114.296,3530,6766,2,56,800000
3,2,1980,9907,2,0,0,3,8,1980,0,1991,0,122068,52.4203,-114.203,2050,9907,2,73,319950
6,3,3560,107362,2,0,0,4,8,2760,800,1963,0,122049,52.8656,-114.34,3210,35001,3,78,1100000
2,2,1340,5350,2,0,0,3,8,1340,0,1941,0,122032,52.8684,-114.593,2210,5350,1,80,592500
5,1,1500,3978,2,0,0,3,7,1500,0,1929,0,122007,52.9111,-114.573,1350,4080,1,73,549000
3,2,1710,7225,2,0,0,4,7,1710,0,1988,0,122018,52.5217,-114.563,1710,7225,2,74,250500
4,2,1330,5926,1,0,0,4,5,1330,0,1942,0,122053,52.726,-114.38,1150,5485,2,75,235867
3,2,1490,9800,1,0,0,4,7,1140,350,1947,0,122048,52.814,-114.388,2310,9800,1,66,745000
3,2,1940,9560,2,0,0,3,7,1940,0,1989,0,122018,52.5298,-114.577,1800,9560,1,67,283748
3,1,1190,7000,1,0,0,3,7,1190,0,1943,0,122032,52.8753,-114.593,1350,7000,1,52,517500
5,2,3200,20158,1,0,0,3,8,1600,1600,1965,0,122048,52.8603,-114.405,3390,20158,1,76,1330000
4,3,2690,28300,1,0,0,3,8,2690,0,1954,1999,122031,52.6758,-114.533,2820,27100,2,73,675000
3,2,2510,12779,2,0,4,3,10,2510,0,1968,0,122033,52.9282,-114.421,2810,12225,1,51,1950000
4,3,2090,5102,1,0,0,3,7,1350,740,1994,0,122034,52.7727,-114.546,2090,5102,2,54,385000
2,1,1240,10800,1,0,1,3,6,1000,240,1943,0,122069,52.7326,-114.655,2140,20059,1,64,355000
3,2,2310,36665,1,0,2,3,8,1580,730,1983,0,122014,52.9997,-114.464,2000,14000,1,53,520000
2,1,850,3276,1,0,0,3,6,850,0,1910,0,122028,52.9042,-114.54,1460,4100,3,77,389000
4,2,4620,20793,2,0,0,4,11,4620,0,1991,0,122018,52.5229,-114.532,3640,20793,2,59,575000
3,2,3150,20189,2,0,0,3,10,3150,0,1990,0,122046,52.677,-114.278,2920,20612,1,54,570000
3,2,1140,7500,1,0,0,3,7,1140,0,1976,0,122019,52.849,-114.254,1380,7500,2,77,356000
2,2,1290,1334,3,0,0,3,8,1290,0,2007,0,122026,52.9019,-114.572,1350,1334,1,53,500000
6,2,2770,5854,2,0,0,3,8,2120,650,1921,0,122047,52.8766,-114.494,2300,5450,1,62,685000
4,2,2891,6499,2,0,0,3,9,2891,0,2014,0,122039,52.5659,-114.447,2550,8383,1,51,415000
4,3,2160,5000,1,0,0,3,7,1320,840,1978,0,122035,52.5927,-114.281,1460,5144,1,79,228950
3,2,1100,10125,1,0,0,4,7,1100,0,1969,0,122023,52.5532,-114.293,1520,10125,2,74,224000
3,2,2590,54014,2,0,0,3,8,1980,610,1988,0,122024,52.6388,-114.245,3170,108900,2,50,503000
4,2,1500,7854,2,0,0,3,7,1500,0,1983,0,122018,52.5427,-114.544,1500,7334,2,74,249900
2,1,830,2820,1,0,0,4,7,830,0,1920,0,122028,52.919,-114.537,1460,3150,3,72,519000
3,2,1600,10240,1,0,0,3,7,1090,510,1979,0,122033,52.9581,-114.422,1520,9394,3,53,390000
4,3,2090,14141,2,0,0,4,8,1680,410,1941,0,122031,52.6633,-114.537,1990,12920,3,66,449000
3,2,1200,24805,1,0,0,3,6,1200,0,1984,0,122067,52.6536,-114.385,2150,4339,3,71,250000
3,1,1080,21043,1,0,0,3,6,1080,0,1942,0,122034,52.7815,-114.547,1380,7620,1,70,210000
3,2,2110,8000,2,0,0,3,8,2110,0,1975,0,122033,52.9611,-114.394,1740,7270,1,70,385000
4,2,2070,4427,2,0,0,3,7,2070,0,2007,0,122008,52.7508,-114.059,2070,4556,1,70,425000
3,1,1040,7500,1,0,0,4,6,1040,0,1954,0,122043,52.6506,-114.506,1270,8000,2,61,172500
4,2,2700,9320,2,0,0,4,8,2700,0,1994,0,122010,52.9161,-114.388,2120,8056,1,72,837500
3,1,940,8400,1,0,0,5,7,940,0,1958,0,122053,52.7412,-114.357,950,8400,1,53,253905
2,1,1070,6625,1,0,0,3,7,830,240,1950,0,122009,52.8036,-114.583,1310,6625,2,77,425000
3,2,2420,9000,2,0,0,4,9,2420,0,1987,0,122030,52.8899,-114.336,2630,9000,1,54,752888
3,2,1750,2983,2,0,0,4,7,1230,520,1929,0,122007,52.9107,-114.556,1480,3600,3,58,524950
3,1,1140,7560,1,0,0,4,6,1140,0,1958,0,122046,52.6924,-114.375,1300,7560,3,80,218000
4,2,2520,4831,2,0,0,3,8,2520,0,2009,0,122021,53.0011,-114.358,2430,3937,1,57,536000
3,1,1200,9936,1,0,0,4,6,1200,0,1969,0,122024,52.5909,-114.219,1200,10189,1,65,225000
4,2,2440,5001,2,0,0,3,8,2440,0,2005,0,122053,52.7408,-114.383,2260,5001,2,74,455000
3,2,1170,9085,1,0,0,3,7,1170,0,1967,0,122018,52.5108,-114.544,1230,9085,3,50,185000
4,3,2720,6427,1,0,0,3,8,1650,1070,2008,0,122052,52.7231,-114.544,2720,8484,2,74,469950
3,2,1760,7601,2,0,0,3,8,1760,0,1992,0,122040,52.4972,-114.503,1920,6851,2,74,281000
2,2,1480,4000,1,0,0,4,6,740,740,1925,0,122007,52.9216,-114.57,1060,4000,3,77,409000
3,2,1240,1115,3,0,0,3,8,1240,0,2003,0,122028,52.9285,-114.53,1410,1355,1,60,340000
3,2,1250,7500,1,0,0,3,7,1250,0,1967,0,122065,52.6019,-114.405,1260,7563,2,72,225000
3,2,1750,7208,2,0,0,3,8,1750,0,1994,0,122042,52.6615,-114.382,2050,7524,3,72,324000
4,1,1640,10455,1,0,0,3,7,950,690,1963,0,122018,52.5274,-114.556,1360,9750,2,77,218000
3,2,2460,6600,2,0,0,4,8,1560,900,1929,0,122061,52.8664,-114.541,2090,3400,2,79,931000
3,2,1610,2527,2,0,2,3,9,1080,530,2005,0,122051,52.7974,-114.48,1610,4173,3,73,460000
3,2,1810,14400,1,0,0,4,7,1810,0,1954,0,122039,52.5187,-114.459,1710,12000,1,62,229500
3,2,1690,7245,1,0,1,3,7,1160,530,1973,0,122040,52.5805,-114.495,1690,6720,3,79,230500
3,2,1500,8173,1,0,0,3,7,1500,0,1997,0,122033,52.9593,-114.417,1970,8173,2,77,435000
4,4,5440,9050,2,0,0,3,12,5440,0,1990,0,122045,52.8905,-114.259,4830,41313,1,72,1770000
3,2,1690,8489,1,0,0,4,7,1690,0,1959,0,122048,52.8379,-114.382,1850,8536,1,60,725000
2,1,1140,3750,1,0,0,4,7,1140,0,1925,0,122028,52.8919,-114.533,1660,4000,3,78,517000
2,2,1380,889,2,0,0,3,7,1140,240,2012,0,122064,52.7741,-114.559,1580,1397,3,67,294000
3,1,1060,9663,1,0,0,3,7,1060,0,1967,0,122033,52.9544,-114.416,1320,10162,3,70,326250
2,1,970,5750,1,0,0,4,6,970,0,1932,0,122064,52.7818,-114.56,1650,8625,3,71,345000
2,1,810,4755,1,0,0,3,7,810,0,1980,0,122051,52.7613,-114.47,1180,4755,1,58,155000
3,3,1830,1804,3,0,0,3,8,1830,0,2014,0,122007,52.9245,-114.567,1830,1804,1,52,599950
3,2,1390,6005,2,0,0,3,8,1390,0,2005,0,122068,52.4417,-114.18,1264,5550,2,76,267000
3,1,1220,8573,1,0,0,4,7,1220,0,1954,0,122048,52.8388,-114.383,1390,8573,2,65,672000
4,3,3130,5700,2,0,0,3,7,1750,1380,1953,0,122006,52.9111,-114.473,2080,5700,1,63,671000
3,2,2560,16420,2,0,0,4,8,2560,0,1989,0,122041,52.9216,-114.106,2120,16298,1,79,470950
3,2,1730,38884,1,0,0,3,8,1730,0,1997,0,122024,52.6464,-114.141,2130,91040,2,77,470000
3,1,1260,8910,1,0,0,4,7,1260,0,1949,0,122007,52.93,-114.565,1560,8910,3,57,445000
3,2,1250,7030,1,0,0,3,7,1250,0,1965,0,122029,52.8585,-114.308,1460,7210,3,72,439000
4,2,1820,5000,2,0,1,3,7,1640,180,1945,0,122006,52.9115,-114.459,2060,5000,2,69,650000
4,2,1830,9600,1,0,0,4,7,1010,820,1966,0,122027,52.8028,-114.315,1910,11100,2,53,433000
4,3,3040,36246,2,0,0,3,9,2680,360,1923,2014,122019,52.8393,-114.26,3520,13178,1,70,870000
3,2,1340,7202,2,0,0,4,7,1340,0,1989,0,122024,52.5863,-114.229,1470,7395,2,64,279950
2,2,1820,8409,1,0,0,4,6,910,910,1948,0,122014,52.9838,-114.517,1300,8409,1,77,345000
4,2,1910,10300,1,0,0,3,8,1910,0,1921,1968,122050,52.9881,-114.549,1910,7750,3,62,458400
4,3,2580,7299,2,0,0,3,8,2580,0,1998,0,122046,52.6946,-114.34,2250,6165,2,64,449500
4,2,2900,4762,2,0,0,3,8,2900,0,2005,0,122035,52.5963,-114.319,2900,5173,2,52,354000
5,4,6070,5432,2,0,0,3,11,6070,0,2004,0,122015,52.7606,-114.324,4750,13404,2,60,1570000
